"filename", "language", "JSON", "TypeScript", "JSON with Comments", "TypeScript JSX", "Markdown", "CSS", "XML", "HTML", "JavaScript", "comment", "blank", "total"
"d:\WEB\lookfor\README.md", "Markdown", 0, 0, 0, 0, 40, 0, 0, 0, 0, 0, 11, 51
"d:\WEB\lookfor\eslint.config.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 27, 0, 2, 29
"d:\WEB\lookfor\firebase.json", "JSON", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13
"d:\WEB\lookfor\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 27, 0, 0, 6, 33
"d:\WEB\lookfor\package-lock.json", "JSON", 5537, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5538
"d:\WEB\lookfor\package.json", "JSON", 57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 58
"d:\WEB\lookfor\src\App.tsx", "TypeScript JSX", 0, 0, 0, 40, 0, 0, 0, 0, 0, 1, 6, 47
"d:\WEB\lookfor\src\GlobalStyle.ts", "TypeScript", 0, 199, 0, 0, 0, 0, 0, 0, 0, 1, 10, 210
"d:\WEB\lookfor\src\components\ConcertHeader.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\WEB\lookfor\src\components\CustomLabel.tsx", "TypeScript JSX", 0, 0, 0, 31, 0, 0, 0, 0, 0, 0, 3, 34
"d:\WEB\lookfor\src\components\Header.tsx", "TypeScript JSX", 0, 0, 0, 457, 0, 0, 0, 0, 0, 5, 26, 488
"d:\WEB\lookfor\src\components\Loading.tsx", "TypeScript JSX", 0, 0, 0, 105, 0, 0, 0, 0, 0, 0, 4, 109
"d:\WEB\lookfor\src\components\LoginDialog.tsx", "TypeScript JSX", 0, 0, 0, 74, 0, 0, 0, 0, 0, 0, 4, 78
"d:\WEB\lookfor\src\components\VenueHeader.tsx", "TypeScript JSX", 0, 0, 0, 171, 0, 0, 0, 0, 0, 26, 8, 205
"d:\WEB\lookfor\src\images\Vector 7-1.svg", "XML", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"d:\WEB\lookfor\src\images\Vector 7-2.svg", "XML", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"d:\WEB\lookfor\src\images\Vector 7.svg", "XML", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"d:\WEB\lookfor\src\images\Vector 8.svg", "XML", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"d:\WEB\lookfor\src\images\Vector 9-1.svg", "XML", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"d:\WEB\lookfor\src\images\Vector 9-10.svg", "XML", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"d:\WEB\lookfor\src\images\Vector 9-11.svg", "XML", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"d:\WEB\lookfor\src\images\Vector 9-12.svg", "XML", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"d:\WEB\lookfor\src\images\Vector 9-13.svg", "XML", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"d:\WEB\lookfor\src\images\Vector 9-2.svg", "XML", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"d:\WEB\lookfor\src\images\Vector 9-3.svg", "XML", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"d:\WEB\lookfor\src\images\Vector 9-4.svg", "XML", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"d:\WEB\lookfor\src\images\Vector 9-5.svg", "XML", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"d:\WEB\lookfor\src\images\Vector 9-6.svg", "XML", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"d:\WEB\lookfor\src\images\Vector 9-7.svg", "XML", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"d:\WEB\lookfor\src\images\Vector 9-8.svg", "XML", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"d:\WEB\lookfor\src\images\Vector 9-9.svg", "XML", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"d:\WEB\lookfor\src\images\Vector 9.svg", "XML", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"d:\WEB\lookfor\src\index.css", "CSS", 0, 0, 0, 0, 0, 61, 0, 0, 0, 0, 8, 69
