"filename", "language", "JSON with Comments", "JSON", "TypeScript", "TypeScript JSX", "Markdown", "JavaScript", "XML", "HTML", "comment", "blank", "total"
"d:\WEB\lookfor\README.md", "Markdown", 0, 0, 0, 0, 40, 0, 0, 0, 0, 11, 51
"d:\WEB\lookfor\eslint.config.js", "JavaScript", 0, 0, 0, 0, 0, 27, 0, 0, 0, 2, 29
"d:\WEB\lookfor\firebase.json", "JSON", 0, 12, 0, 0, 0, 0, 0, 0, 0, 1, 13
"d:\WEB\lookfor\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 27, 0, 5, 32
"d:\WEB\lookfor\package-lock.json", "JSON", 0, 5569, 0, 0, 0, 0, 0, 0, 0, 1, 5570
"d:\WEB\lookfor\package.json", "JSON", 0, 54, 0, 0, 0, 0, 0, 0, 0, 1, 55
"d:\WEB\lookfor\src\App.tsx", "TypeScript JSX", 0, 0, 0, 36, 0, 0, 0, 0, 0, 5, 41
"d:\WEB\lookfor\src\GlobalStyle.ts", "TypeScript", 0, 0, 223, 0, 0, 0, 0, 0, 1, 11, 235
"d:\WEB\lookfor\src\components\CustomLabel.tsx", "TypeScript JSX", 0, 0, 0, 36, 0, 0, 0, 0, 0, 4, 40
"d:\WEB\lookfor\src\components\Dialog.tsx", "TypeScript JSX", 0, 0, 0, 77, 0, 0, 0, 0, 0, 5, 82
"d:\WEB\lookfor\src\components\Header.tsx", "TypeScript JSX", 0, 0, 0, 454, 0, 0, 0, 0, 0, 23, 477
"d:\WEB\lookfor\src\components\Loading.tsx", "TypeScript JSX", 0, 0, 0, 90, 0, 0, 0, 0, 0, 4, 94
"d:\WEB\lookfor\src\components\Section.tsx", "TypeScript JSX", 0, 0, 0, 75, 0, 0, 0, 0, 0, 7, 82
"d:\WEB\lookfor\src\components\VenueHeader.tsx", "TypeScript JSX", 0, 0, 0, 159, 0, 0, 0, 0, 0, 7, 166
"d:\WEB\lookfor\src\images\Vector 7-1.svg", "XML", 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"d:\WEB\lookfor\src\images\Vector 7-2.svg", "XML", 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"d:\WEB\lookfor\src\images\Vector 7.svg", "XML", 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"d:\WEB\lookfor\src\images\Vector 8.svg", "XML", 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"d:\WEB\lookfor\src\images\Vector 9-1.svg", "XML", 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"d:\WEB\lookfor\src\images\Vector 9-10.svg", "XML", 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"d:\WEB\lookfor\src\images\Vector 9-11.svg", "XML", 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"d:\WEB\lookfor\src\images\Vector 9-12.svg", "XML", 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"d:\WEB\lookfor\src\images\Vector 9-13.svg", "XML", 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"d:\WEB\lookfor\src\images\Vector 9-2.svg", "XML", 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"d:\WEB\lookfor\src\images\Vector 9-3.svg", "XML", 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"d:\WEB\lookfor\src\images\Vector 9-4.svg", "XML", 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"d:\WEB\lookfor\src\images\Vector 9-5.svg", "XML", 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"d:\WEB\lookfor\src\images\Vector 9-6.svg", "XML", 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"d:\WEB\lookfor\src\images\Vector 9-7.svg", "XML", 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"d:\WEB\lookfor\src\images\Vector 9-8.svg", "XML", 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"d:\WEB\lookfor\src\images\Vector 9-9.svg", "XML", 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"d:\WEB\lookfor\src\images\Vector 9.svg", "XML", 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"d:\WEB\lookfor\src\main.tsx", "TypeScript JSX", 0, 0, 0, 35, 0, 0, 0, 0, 0, 2, 37
"d:\WEB\lookfor\src\pages\Background.tsx", "TypeScript JSX", 0, 0, 0, 60, 0, 0, 0, 0, 0, 5, 65
"d:\WEB\lookfor\src\pages\ConcertList\Filter.tsx", "TypeScript JSX", 0, 0, 0, 62, 0, 0, 0, 0, 0, 8, 70
"d:\WEB\lookfor\src\pages\ConcertList\ListItem.tsx", "TypeScript JSX", 0, 0, 0, 85, 0, 0, 0, 0, 0, 7, 92
"d:\WEB\lookfor\src\pages\ConcertList\Search.tsx", "TypeScript JSX", 0, 0, 0, 70, 0, 0, 0, 0, 0, 6, 76
"d:\WEB\lookfor\src\pages\ConcertList\index.tsx", "TypeScript JSX", 0, 0, 0, 166, 0, 0, 0, 0, 0, 12, 178
"d:\WEB\lookfor\src\pages\Concert\index.tsx", "TypeScript JSX", 0, 0, 0, 196, 0, 0, 0, 0, 0, 9, 205
"d:\WEB\lookfor\src\pages\FansSupport\FanPost.tsx", "TypeScript JSX", 0, 0, 0, 341, 0, 0, 0, 0, 2, 22, 365
"d:\WEB\lookfor\src\pages\FansSupport\KeepFeature.tsx", "TypeScript JSX", 0, 0, 0, 76, 0, 0, 0, 0, 0, 7, 83
"d:\WEB\lookfor\src\pages\FansSupport\MoreFeature.tsx", "TypeScript JSX", 0, 0, 0, 97, 0, 0, 0, 0, 0, 7, 104
"d:\WEB\lookfor\src\pages\FansSupport\PostContent.tsx", "TypeScript JSX", 0, 0, 0, 114, 0, 0, 0, 0, 0, 9, 123
"d:\WEB\lookfor\src\pages\FansSupport\PostFeature.tsx", "TypeScript JSX", 0, 0, 0, 101, 0, 0, 0, 0, 0, 11, 112
"d:\WEB\lookfor\src\pages\FansSupport\PostList.tsx", "TypeScript JSX", 0, 0, 0, 68, 0, 0, 0, 0, 0, 6, 74
"d:\WEB\lookfor\src\pages\FansSupport\index.tsx", "TypeScript JSX", 0, 0, 0, 199, 0, 0, 0, 0, 1, 18, 218
"d:\WEB\lookfor\src\pages\Home\NewView.tsx", "TypeScript JSX", 0, 0, 0, 166, 0, 0, 0, 0, 0, 7, 173
"d:\WEB\lookfor\src\pages\Home\index.tsx", "TypeScript JSX", 0, 0, 0, 180, 0, 0, 0, 0, 0, 16, 196
"d:\WEB\lookfor\src\pages\Keep.tsx", "TypeScript JSX", 0, 0, 0, 186, 0, 0, 0, 0, 0, 12, 198
"d:\WEB\lookfor\src\pages\Login\Login.tsx", "TypeScript JSX", 0, 0, 0, 149, 0, 0, 0, 0, 0, 13, 162
